epoch,model_label,model_path,fold_factor,target_fmax_hz,pipeline_status,error_type,error_message,real_design_name,real_lut,real_ff,real_latency_cycles,real_latency_ns,real_fmax_mhz,estimated_lut,work_cost,work_to_area_ratio,schedule_latency_cycles,sample_ii_cycles,throughput_samples_per_sec,max_resource_utilisation,correctness_passed,checked_output_count,mismatched_elements,fold_group_count,lut_error_pct,real_parallelism
490,deepset_N16_e490_ebops80935,official_models/deepset/epoch=490-acc=68.93%-val_acc=69.57%-EBOPs=80935.keras,1,300000000.0,ok,,,deepset_N16_e490_ebops80935_P_16_BW_8224,66196,3196,3.0,8.049,372.71710771524414,60242.0,60242.0,1.0,37,1,300000000.0,0.02702702702702703,True,5,0,1,8.99450117831893,16.0
490,deepset_N16_e490_ebops80935,official_models/deepset/epoch=490-acc=68.93%-val_acc=69.57%-EBOPs=80935.keras,2,300000000.0,ok,,,deepset_N16_e490_ebops80935_P_8_BW_8224,37109,1789,4.0,9.592,417.0141784820684,32623.0,57696.0,1.7685681880881587,38,2,150000000.0,0.05263157894736842,True,5,0,1,12.088711633296505,8.0
490,deepset_N16_e490_ebops80935,official_models/deepset/epoch=490-acc=68.93%-val_acc=69.57%-EBOPs=80935.keras,4,300000000.0,ok,,,deepset_N16_e490_ebops80935_P_4_BW_8224,22656,1086,6.0,12.419999999999998,483.0917874396136,19940.0,57110.0,2.8640922768304913,39,4,75000000.0,0.10256410256410256,True,5,0,1,11.987994350282486,4.0
490,deepset_N16_e490_ebops80935,official_models/deepset/epoch=490-acc=68.93%-val_acc=69.57%-EBOPs=80935.keras,8,300000000.0,ok,,,deepset_N16_e490_ebops80935_P_2_BW_8224,15393,735,10.0,14.76,677.5067750677507,13609.0,56022.0,4.1165405246528035,42,8,37500000.0,0.19047619047619047,True,5,0,1,11.589683622425778,2.0
490,deepset_N16_e490_ebops80935,official_models/deepset/epoch=490-acc=68.93%-val_acc=69.57%-EBOPs=80935.keras,16,300000000.0,ok,,,deepset_N16_e490_ebops80935_P_1_BW_8224,11886,560,18.0,21.348,843.1703204047218,10592.0,56222.0,5.307968277945619,50,16,18750000.0,0.32,True,5,0,1,10.88675752986707,1.0
676,deepset_N16_e676_ebops52166,official_models/deepset/epoch=676-acc=68.42%-val_acc=69.18%-EBOPs=52166.keras,1,300000000.0,ok,,,deepset_N16_e676_ebops52166_P_16_BW_7163,46670,2621,3.0,8.754,342.7004797806717,43031.0,43031.0,1.0,29,1,300000000.0,0.034482758620689655,True,5,0,1,7.797300192843368,16.0
676,deepset_N16_e676_ebops52166,official_models/deepset/epoch=676-acc=68.42%-val_acc=69.18%-EBOPs=52166.keras,2,300000000.0,ok,,,deepset_N16_e676_ebops52166_P_8_BW_7163,26470,1470,4.0,9.136,437.82837127845886,23708.0,41213.0,1.7383583600472414,30,2,150000000.0,0.06666666666666667,True,5,0,1,10.434454098979977,8.0
676,deepset_N16_e676_ebops52166,official_models/deepset/epoch=676-acc=68.42%-val_acc=69.18%-EBOPs=52166.keras,4,300000000.0,ok,,,deepset_N16_e676_ebops52166_P_4_BW_7163,16549,895,6.0,10.656,563.0630630630632,14835.0,40731.0,2.7456016177957534,31,4,75000000.0,0.12903225806451613,True,5,0,1,10.357121276210043,4.0
676,deepset_N16_e676_ebops52166,official_models/deepset/epoch=676-acc=68.42%-val_acc=69.18%-EBOPs=52166.keras,8,300000000.0,ok,,,deepset_N16_e676_ebops52166_P_2_BW_7163,11695,608,10.0,14.500000000000002,689.655172413793,10407.0,39835.0,3.8277121168444315,34,8,37500000.0,0.23529411764705882,True,5,0,1,11.013253527148354,2.0
676,deepset_N16_e676_ebops52166,official_models/deepset/epoch=676-acc=68.42%-val_acc=69.18%-EBOPs=52166.keras,16,300000000.0,ok,,,deepset_N16_e676_ebops52166_P_1_BW_7163,9239,465,18.0,22.068,815.6606851549756,8298.0,39723.0,4.78705712219812,42,16,18750000.0,0.38095238095238093,True,5,0,1,10.185084965905402,1.0
841,deepset_N16_e841_ebops33798,official_models/deepset/epoch=841-acc=67.39%-val_acc=68.36%-EBOPs=33798.keras,1,300000000.0,ok,,,deepset_N16_e841_ebops33798_P_16_BW_5875,32309,2078,3.0,7.803,384.46751249519417,29285.0,29285.0,1.0,30,1,300000000.0,0.03333333333333333,True,5,0,1,9.359621158191215,16.0
841,deepset_N16_e841_ebops33798,official_models/deepset/epoch=841-acc=67.39%-val_acc=68.36%-EBOPs=33798.keras,2,300000000.0,ok,,,deepset_N16_e841_ebops33798_P_8_BW_5875,18913,1167,4.0,9.98,400.8016032064128,16420.0,27952.0,1.70231425091352,31,2,150000000.0,0.06451612903225806,True,5,0,1,13.18140961243589,8.0
841,deepset_N16_e841_ebops33798,official_models/deepset/epoch=841-acc=67.39%-val_acc=68.36%-EBOPs=33798.keras,4,300000000.0,ok,,,deepset_N16_e841_ebops33798_P_4_BW_5875,12102,712,6.0,12.714,471.9207173194903,10555.0,27556.0,2.610705826622454,32,4,75000000.0,0.125,True,5,0,1,12.783011072549991,4.0
841,deepset_N16_e841_ebops33798,official_models/deepset/epoch=841-acc=67.39%-val_acc=68.36%-EBOPs=33798.keras,8,300000000.0,ok,,,deepset_N16_e841_ebops33798_P_2_BW_5875,8701,485,10.0,16.099999999999998,621.1180124223603,7630.0,26824.0,3.5155963302752293,35,8,37500000.0,0.22857142857142856,True,5,0,1,12.308930008045053,2.0
841,deepset_N16_e841_ebops33798,official_models/deepset/epoch=841-acc=67.39%-val_acc=68.36%-EBOPs=33798.keras,16,300000000.0,ok,,,deepset_N16_e841_ebops33798_P_1_BW_5875,7068,372,18.0,22.068,815.6606851549756,6245.0,26600.0,4.259407526020817,43,16,18750000.0,0.37209302325581395,True,5,0,1,11.644029428409734,1.0
890,deepset_N16_e890_ebops146212,official_models/deepset/epoch=890-acc=69.51%-val_acc=70.03%-EBOPs=146212.keras,1,300000000.0,ok,,,deepset_N16_e890_ebops146212_P_16_BW_11603,111204,5201,3.0,7.749,387.1467286101432,101727.0,101727.0,1.0,35,1,300000000.0,0.02857142857142857,True,5,0,1,8.52217546131434,16.0
890,deepset_N16_e890_ebops146212,official_models/deepset/epoch=890-acc=69.51%-val_acc=70.03%-EBOPs=146212.keras,2,300000000.0,ok,,,deepset_N16_e890_ebops146212_P_8_BW_11603,61177,2859,4.0,9.98,400.8016032064128,54261.0,97608.0,1.7988610604301432,36,2,150000000.0,0.05555555555555555,True,5,0,1,11.304902169115843,8.0
890,deepset_N16_e890_ebops146212,official_models/deepset/epoch=890-acc=69.51%-val_acc=70.03%-EBOPs=146212.keras,4,300000000.0,ok,,,deepset_N16_e890_ebops146212_P_4_BW_11603,36524,1720,6.0,12.714,471.9207173194903,32361.0,96702.0,2.988226569018263,37,4,75000000.0,0.10810810810810811,True,5,0,1,11.397984886649875,4.0
890,deepset_N16_e890_ebops146212,official_models/deepset/epoch=890-acc=69.51%-val_acc=70.03%-EBOPs=146212.keras,8,300000000.0,ok,,,deepset_N16_e890_ebops146212_P_2_BW_11603,23914,1151,10.0,16.099999999999998,621.1180124223603,21424.0,94994.0,4.433999253174011,40,8,37500000.0,0.2,True,5,0,1,10.41231078029606,2.0
890,deepset_N16_e890_ebops146212,official_models/deepset/epoch=890-acc=69.51%-val_acc=70.03%-EBOPs=146212.keras,16,300000000.0,ok,,,deepset_N16_e890_ebops146212_P_1_BW_11603,17762,867,18.0,21.69,829.8755186721992,16156.0,94786.0,5.8669225055706855,48,16,18750000.0,0.3333333333333333,True,5,0,1,9.041774574935255,1.0
989,deepset_N16_e989_ebops24070,official_models/deepset/epoch=989-acc=65.73%-val_acc=67.32%-EBOPs=24070.keras,1,300000000.0,ok,,,deepset_N16_e989_ebops24070_P_16_BW_5041,22692,1768,3.0,8.271,362.7130939426913,20452.0,20452.0,1.0,28,1,300000000.0,0.03571428571428571,True,5,0,1,9.871320289088665,16.0
989,deepset_N16_e989_ebops24070,official_models/deepset/epoch=989-acc=65.73%-val_acc=67.32%-EBOPs=24070.keras,2,300000000.0,ok,,,deepset_N16_e989_ebops24070_P_8_BW_5041,13747,1001,4.0,8.836,452.69352648257126,11857.0,19611.0,1.6539596862612802,29,2,150000000.0,0.06896551724137931,True,5,0,1,13.748454208190877,8.0
